ride_id,driver_name,pickup_lat,pickup_lon,drop_lat,drop_lon,geohash,departure_hour,available_seats,fare_per_seat
R000001,Chanchal,22.584459,88.402469,22.499596,88.381923,tunb7x,18,3,47
R000002,Parth,22.546499,88.33797,22.607761,88.425299,tunb60,11,1,98
R000003,Andrew,22.63482,88.368648,22.57531,88.296904,tunbfb,8,3,109
R000004,Yashodhara,22.684743,88.395329,22.587498,88.393588,tunc53,18,3,102
R000005,Pratyush,22.634106,88.421082,22.640815,88.42494,tunbu0,12,3,117
R000006,Anay,22.630175,88.454506,22.592282,88.468076,tunbsz,12,2,111
R000007,Ridhi,22.616855,88.341519,22.565794,88.342328,tunbdm,15,3,78
R000008,Ekapad,22.670095,88.351673,22.62451,88.350344,tunbfq,12,3,42
R000009,Turvi,22.593773,88.413346,22.484108,88.383547,tunbec,7,1,61
R000010,Oliver,22.590335,88.360744,22.578577,88.489545,tunbd8,12,4,66
R000011,Ekbal,22.585729,88.336101,22.479563,88.399201,tunb6p,10,1,116
R000012,Nidra,22.514523,88.349515,22.63137,88.463003,tunb46,6,3,110
R000013,Tejas,22.521414,88.32158,22.665977,88.43127,tunb1g,6,2,84
R000014,Jason,22.699764,88.399296,22.427999,88.395471,tunc5s,19,1,122
R000015,Yutika,22.53174,88.366435,22.633188,88.415607,tunb4v,7,1,47
R000016,Harshil,22.492981,88.304785,22.459933,88.425801,tgyzcq,20,1,143
R000017,Champak,22.532329,88.270766,22.465331,88.430974,tunb0t,12,4,49
R000018,Charles,22.54088,88.28287,22.65418,88.330202,tunb0z,20,3,81
R000019,Manan,22.576031,88.406192,22.524845,88.321883,tunb7t,16,3,62
R000020,Harsh,22.55816,88.328452,22.519976,88.34121,tunb3f,17,0,77
R000021,Ethan,22.610651,88.404273,22.676582,88.402311,tunbes,9,4,89
R000022,Suhani,22.577373,88.468094,22.544963,88.460936,tunbmn,11,2,66
R000023,Harita,22.583823,88.379,22.544847,88.347717,tunb7p,9,4,111
R000024,Advaith,22.613877,88.340832,22.591255,88.405244,tunbdh,14,0,69
R000025,Vasana,22.616286,88.461238,22.663286,88.41884,tunbsv,19,4,85
R000026,Pushti,22.479114,88.372848,22.493875,88.296415,tgyzfu,17,1,117
R000027,Jack,22.485522,88.38079,22.513675,88.353421,tgyzgj,9,1,130
R000028,Fitan,22.556525,88.337681,22.473319,88.432009,tunb64,19,4,106
R000029,Isaiah,22.593239,88.378561,22.595993,88.400267,tunbe0,20,2,123
R000030,Lavanya,22.615155,88.402572,22.70314,88.357037,tunbes,11,1,132
R000031,Dayamai,22.48298,88.390099,22.579288,88.413534,tgyzgk,11,3,83
R000032,Janya,22.622973,88.382755,22.569156,88.423661,tunben,6,2,50
R000033,Tanveer,22.619307,88.43059,22.530939,88.329533,tunbsm,16,1,58
R000034,Oliver,22.688108,88.376789,22.568852,88.41417,tunc54,15,0,48
R000035,Yuvraj,22.50537,88.33991,22.612594,88.366644,tunb40,7,2,127
R000036,Yachana,22.556792,88.435418,22.563318,88.460747,tunbk6,14,2,108
R000037,Michael,22.455477,88.404473,22.50442,88.320503,tgyzex,19,2,82
